Código IBGE;Municípios;   Ano   ;População;Porte Populacional
3541505;Presidente Venceslau;2021; 37.981 ;Até 50 mil
3541604;Promissão;2021; 40.001 ;Até 50 mil
3541653;Quadra;2021; 3.745 ;Até 50 mil
3541703;Quatá;2021; 14.025 ;Até 50 mil
3541802;Queiroz;2021; 3.319 ;Até 50 mil
3541901;Queluz;2021; 12.735 ;Até 50 mil
3542008;Quitana;2021; 6.539 ;Até 50 mil
3542107;Rafard;2021; 9.014 ;Até 50 mil
3542206;Rancharia;2021; 28.855 ;Até 50 mil
3542305;Redenção da Serra;2021; 3.834 ;Até 50 mil
3542404;Regente Feijó;2021; 19.556 ;Até 50 mil
3542503;Reginópolis;2021; 7.204 ;Até 50 mil
3542602;Registro;2021; 54.270 ;De 50 a 100 mil
3542701;Restinga;2021; 7.575 ;Até 50 mil
3542800;Ribeira;2021; 3.240 ;Até 50 mil
3542909;Ribeirão Bonito;2021; 13.033 ;Até 50 mil
3543006;Ribeirão Branco;2021; 17.683 ;Até 50 mil
3543105;Ribeirão Corrente;2021; 4.698 ;Até 50 mil
3543204;Ribeirão do Sul;2021; 4.351 ;Até 50 mil
3543238;Ribeirão dos Índios;2021; 2.135 ;Até 50 mil
3543253;Ribeirão Grande;2021; 7.515 ;Até 50 mil
3543303;Ribeirão Pires;2021; 119.339 ;De 100 a 200 mil
3543402;Ribeirão Preto;2021; 688.894 ;Mais de 500 mil
3543501;Riversul;2021; 5.686 ;Até 50 mil
3543600;Rifaina;2021; 3.470 ;Até 50 mil
3543709;Rincão;2021; 10.506 ;Até 50 mil
3543808;Rinópolis;2021; 9.700 ;Até 50 mil
3543907;Rio Claro;2021; 202.289 ;De 200 a 500 mil
3544004;Rio das Pedras;2021; 34.768 ;Até 50 mil
3544103;Rio Grande da Serra;2021; 50.313 ;De 50 a 100 mil
3544202;Riolândia;2021; 11.501 ;Até 50 mil
3544251;Rosana;2021; 18.320 ;Até 50 mil
3544301;Roseira;2021; 10.723 ;Até 50 mil
3544400;Rubiácea;2021; 3.138 ;Até 50 mil
3544509;Rubinéia;2021; 2.996 ;Até 50 mil
3544608;Sabino;2021; 5.485 ;Até 50 mil
3544707;Sagres;2021; 2.362 ;Até 50 mil
3544806;Sales;2021; 6.082 ;Até 50 mil
3544905;Sales Oliveira;2021; 11.580 ;Até 50 mil
3545001;Salesópolis;2021; 16.945 ;Até 50 mil
3545100;Salmourão;2021; 5.138 ;Até 50 mil
3545159;Saltinho;2021; 7.898 ;Até 50 mil
3545209;Salto;2021; 116.089 ;De 100 a 200 mil
3545308;Salto de Pirapora;2021; 44.522 ;Até 50 mil
3545407;Salto Grande;2021; 9.125 ;Até 50 mil
3545506;Sandovalina;2021; 4.257 ;Até 50 mil
3545605;Santa Adélia;2021; 14.929 ;Até 50 mil
3545704;Santa Albertina;2021; 5.657 ;Até 50 mil
3545803;Santa Bárbara d'Oeste;2021; 189.330 ;De 100 a 200 mil
3546009;Santa Branca;2021; 14.212 ;Até 50 mil
3546108;Santa Clara d'Oeste;2021; 1.998 ;Até 50 mil
3546207;Santa Cruz da Conceição;2021; 4.372 ;Até 50 mil
3546256;Santa Cruz da Esperança;2021; 2.086 ;Até 50 mil
3546306;Santa Cruz das Palmeiras;2021; 34.031 ;Até 50 mil
3546405;Santa Cruz do Rio Pardo;2021; 46.276 ;Até 50 mil
3546504;Santa Ernestina;2021; 5.527 ;Até 50 mil
3546603;Santa Fé do Sul;2021; 30.897 ;Até 50 mil
3546702;Santa Gertrudes;2021; 26.572 ;Até 50 mil
3546801;Santa Isabel;2021; 55.436 ;De 50 a 100 mil
3546900;Santa Lucia;2021; 8.590 ;Até 50 mil
3547007;Santa Maria da Serra;2021; 6.208 ;Até 50 mil
3547106;Santa Mercedes;2021; 2.814 ;Até 50 mil
3547205;Santana da Ponte Pensa;2021; 1.497 ;Até 50 mil
3547304;Santana de Parnaíba;2021; 140.616 ;De 100 a 200 mil
3547403;Santa Rita d'Oeste;2021; 2.389 ;Até 50 mil
3547502;Santa Rita do Passa Quatro;2021; 26.355 ;Até 50 mil
3547601;Santa Rosa do Viterbo;2021; 25.732 ;Até 50 mil
3547650;Santa Salete;2021; 1.438 ;Até 50 mil
3547700;Santo Anastácio;2021; 20.106 ;Até 50 mil
3547809;Santo André;2021; 694.681 ;Mais de 500 mil
3547908;Santo Antonio da Alegria;2021; 6.661 ;Até 50 mil
3548005;Santo Antonio da Posse;2021; 23.027 ;Até 50 mil
3548054;Santo Antonio do Aracanguá;2021; 8.297 ;Até 50 mil
3548104;Santo Antonio do Jardim;2021; 5.823 ;Até 50 mil
3548203;Santo Antonio do Pinhal;2021; 6.643 ;Até 50 mil
3548302;Santo Expedito;2021; 2.986 ;Até 50 mil
3548401;Santópolis do Aguapeí;2021; 4.698 ;Até 50 mil
3548500;Santos;2021; 429.513 ;De 200 a 500 mil
3548609;São Bento do Sapucaí;2021; 10.539 ;Até 50 mil
3548708;São Bernardo do Campo;2021; 815.109 ;Mais de 500 mil
3548807;São Caetano do Sul;2021; 151.111 ;De 100 a 200 mil
3548906;São Carlos;2021; 244.036 ;De 200 a 500 mil
3549003;São Francisco;2021; 2.667 ;Até 50 mil
3549102;São João da Boa Vista;2021; 87.537 ;De 50 a 100 mil
3549201;São João das Duas Pontes;2021; 2.466 ;Até 50 mil
3549250;São João de Iracema;2021; 1.853 ;Até 50 mil
3549300;São João do Pau d'Alho;2021; 1.973 ;Até 50 mil
3549409;São Joaquim da Barra;2021; 50.553 ;De 50 a 100 mil
3549508;São José da Bela Vista;2021; 8.762 ;Até 50 mil
3549607;São José do Barreiro;2021; 4.073 ;Até 50 mil
3549706;São José do Rio Pardo;2021; 53.277 ;De 50 a 100 mil
3549805;São José do Rio Preto;2021; 450.361 ;De 200 a 500 mil
3549904;São José dos Campos;2021; 716.688 ;Mais de 500 mil
3549953;São Lourenço da Serra;2021; 15.721 ;Até 50 mil
3550001;São Luís do Paraitinga;2021; 10.584 ;Até 50 mil
3550100;São Manuel;2021; 39.678 ;Até 50 mil
3550209;São Miguel Arcanjo;2021; 32.115 ;Até 50 mil
3550308;São Paulo;2021; 11.914.851 ;Mais de 500 mil
3550407;São Pedro;2021; 34.408 ;Até 50 mil
3550506;São Pedro do Turvo;2021; 7.389 ;Até 50 mil
3550605;São Roque;2021; 88.032 ;De 50 a 100 mil
3550704;São Sebastião;2021; 88.156 ;De 50 a 100 mil
3550803;São Sebastião da Grama;2021; 11.929 ;Até 50 mil
3550902;São Simão;2021; 14.891 ;Até 50 mil
3551009;São Vicente;2021; 360.262 ;De 200 a 500 mil
3551108;Sarapuí;2021; 10.206 ;Até 50 mil
3551207;Sarutaiá;2021; 3.652 ;Até 50 mil
3551306;Sebastianópolis do Sul;2021; 3.304 ;Até 50 mil
3551405;Serra Azul;2021; 12.381 ;Até 50 mil
3551504;Serrana;2021; 44.870 ;Até 50 mil
3551603;Serra Negra;2021; 27.486 ;Até 50 mil
3551702;Sertãozinho;2021; 123.148 ;De 100 a 200 mil
3551801;Sete Barras;2021; 12.643 ;Até 50 mil
3551900;Severínia;2021; 17.263 ;Até 50 mil
3552007;Silveiras;2021; 6.240 ;Até 50 mil
3552106;Socorro;2021; 38.896 ;Até 50 mil
3552205;Sorocaba;2021; 663.739 ;Mais de 500 mil
3552304;Sud Mennucci;2021; 7.728 ;Até 50 mil
3552403;Sumaré;2021; 286.462 ;De 200 a 500 mil
3552502;Suzano;2021; 293.464 ;De 200 a 500 mil
3552551;Suzanópolis;2021; 3.990 ;Até 50 mil
3552601;Tabapuã;2021; 11.918 ;Até 50 mil
3552700;Tabatinga;2021; 15.996 ;Até 50 mil
3552809;Taboão da Serra;2021; 287.155 ;De 200 a 500 mil
3552908;Taciba;2021; 6.081 ;Até 50 mil
3553005;Taguaí;2021; 13.503 ;Até 50 mil
3553104;Taiaçu;2021; 6.048 ;Até 50 mil
3553203;Taiúva;2021; 6.265 ;Até 50 mil
3553302;Tambaú;2021; 22.846 ;Até 50 mil
3553401;Tanabi;2021; 25.147 ;Até 50 mil
3553500;Tapiraí;2021; 7.705 ;Até 50 mil
3553609;Tapiratiba;2021; 12.602 ;Até 50 mil
3553658;Taquaral;2021; 2.753 ;Até 50 mil
3553708;Taquaritinga;2021; 54.531 ;De 50 a 100 mil
3553807;Taquarituba;2021; 23.246 ;Até 50 mil
3553856;Taquarivaí;2021; 5.803 ;Até 50 mil
3553906;Tarabaí;2021; 7.327 ;Até 50 mil
3553955;Tarumã;2021; 14.951 ;Até 50 mil
3554003;Tatuí;2021; 121.202 ;De 100 a 200 mil
3554102;Taubaté;2021; 309.483 ;De 200 a 500 mil
3554201;Tejupá;2021; 4.707 ;Até 50 mil
3554300;Teodoro Sampaio;2021; 22.495 ;Até 50 mil
3554409;Terra Roxa;2021; 9.170 ;Até 50 mil
3554508;Tietê;2021; 41.405 ;Até 50 mil
3554607;Timburi;2021; 2.551 ;Até 50 mil
3554656;Torre de Pedra;2021; 2.325 ;Até 50 mil
3554706;Torrinha;2021; 9.736 ;Até 50 mil
3554755;Trabiju;2021; 1.716 ;Até 50 mil
3554805;Tremembé;2021; 46.364 ;Até 50 mil
3554904;Três Fronteiras;2021; 5.550 ;Até 50 mil
3554953;Tuiuti;2021; 6.597 ;Até 50 mil
3555000;Tupã;2021; 62.720 ;De 50 a 100 mil
3555109;Tupi Paulista;2021; 14.877 ;Até 50 mil
3555208;Turiúba;2021; 1.905 ;Até 50 mil
3555307;Turmalina;2021; 1.789 ;Até 50 mil
3555356;Ubarana;2021; 6.126 ;Até 50 mil
3555406;Ubatuba;2021; 89.782 ;De 50 a 100 mil
3555505;Ubirajara;2021; 4.684 ;Até 50 mil
3555604;Uchôa;2021; 9.689 ;Até 50 mil
3555703;União Paulista;2021; 1.751 ;Até 50 mil
3555802;Urânia;2021; 8.584 ;Até 50 mil
3555901;Uru;2021; 1.203 ;Até 50 mil
3556008;Urupês;2021; 13.181 ;Até 50 mil
3556107;Valentim Gentil;2021; 12.897 ;Até 50 mil
3556206;Valinhos;2021; 125.800 ;De 100 a 200 mil
3556305;Valparaíso;2021; 24.099 ;Até 50 mil
3556354;Vargem;2021; 10.094 ;Até 50 mil
3556404;Vargem Grande do Sul;2021; 41.684 ;Até 50 mil
3556453;Vargem Grande Paulista;2021; 53.613 ;De 50 a 100 mil
3556503;Várzea Paulista;2021; 121.482 ;De 100 a 200 mil
3556602;Vera Cruz;2021; 10.506 ;Até 50 mil
3556701;Vinhedo;2021; 78.440 ;De 50 a 100 mil
3556800;Viradouro;2021; 18.421 ;Até 50 mil
3556909;Vista Alegre do Alto;2021; 8.091 ;Até 50 mil
3556958;Vitória Brasil;2021; 1.761 ;Até 50 mil
3557006;Votorantim;2021; 120.662 ;De 100 a 200 mil
3557105;Votuporanga;2021; 92.193 ;De 50 a 100 mil
3557154;Zacarias;2021; 2.574 ;Até 50 mil
3557204;Chavantes;2021; 12.229 ;Até 50 mil
3557303;Estiva Gerbi;2021; 11.156 ;Até 50 mil
;;;;
