Código IBGE;Municípios;   Ano   ;População;Porte Populacional
3509452;Campina do Monte Alegre;2021; 5.832 ;Até 50 mil
3509502;Campinas;2021; 1.181.555 ;Mais de 500 mil
3509601;Campo Limpo Paulista;2021; 83.530 ;De 50 a 100 mil
3509700;Campos do Jordão;2021; 50.307 ;De 50 a 100 mil
3509809;Campos Novos Paulista;2021; 4.841 ;Até 50 mil
3509908;Cananéia;2021; 12.379 ;Até 50 mil
3509957;Canas;2021; 5.120 ;Até 50 mil
3510005;Cândido Mota;2021; 30.010 ;Até 50 mil
3510104;Cândido Rodrigues;2021; 2.672 ;Até 50 mil
3510153;Canitar;2021; 5.051 ;Até 50 mil
3510203;Capão Bonito;2021; 46.521 ;Até 50 mil
3510302;Capela do Alto;2021; 20.828 ;Até 50 mil
3510401;Capivari;2021; 54.686 ;De 50 a 100 mil
3510500;Caraguatatuba;2021; 117.090 ;De 100 a 200 mil
3510609;Carapicuíba;2021; 396.447 ;De 200 a 500 mil
3510708;Cardoso;2021; 11.712 ;Até 50 mil
3510807;Casa Branca;2021; 29.549 ;Até 50 mil
3510906;Cássia dos Coqueiros;2021; 2.486 ;Até 50 mil
3511003;Castilho;2021; 20.937 ;Até 50 mil
3511102;Catanduva;2021; 117.414 ;De 100 a 200 mil
3511201;Catiguá;2021; 7.555 ;Até 50 mil
3511300;Cedral;2021; 8.895 ;Até 50 mil
3511409;Cerqueira César;2021; 19.350 ;Até 50 mil
3511508;Cerquilho;2021; 46.932 ;Até 50 mil
3511607;Cesário Lange;2021; 17.360 ;Até 50 mil
3511706;Charqueada;2021; 17.075 ;Até 50 mil
3511904;Clementina;2021; 8.413 ;Até 50 mil
3512001;Colina;2021; 17.606 ;Até 50 mil
3512100;Colômbia;2021; 6.048 ;Até 50 mil
3512209;Conchal;2021; 27.445 ;Até 50 mil
3512308;Conchas;2021; 17.203 ;Até 50 mil
3512407;Cordeirópolis;2021; 24.615 ;Até 50 mil
3512506;Coroados;2021; 5.971 ;Até 50 mil
3512605;Coronel Macedo;2021; 4.839 ;Até 50 mil
3512704;Corumbataí;2021; 3.969 ;Até 50 mil
3512803;Cosmópolis;2021; 72.215 ;De 50 a 100 mil
